question_text_original,question_text_rewritten,answer,flag
This picture was taken how many minutes into the 1989 Disney movie 'The Little Mermaid'?,,26 minutes,specific film moment/scene cannot be identified from answer text
"In the album version of this song, how many seconds pass before the name ""Heathcliff"" is sung for the first time?",,46 seconds,song not identified in answer text
"In days, what is the age difference between these two YouTuber brothers?","In days, what is the age difference between YouTuber brothers Logan Paul and Jake Paul?",657 (Logan Paul born April 1st 1995; Jake Paul born January 17th 1997),
"Pictured here, how many days passed between the births of these two actors?",How many days passed between the births of actors Al Pacino and Robert De Niro?,1209 days (Al Pacino 1940 and Robert De Niro 1943),
"On June 4th 1987, this legendary track and field athlete failed to win a race for the first time in how many days?","On June 4th 1987, hurdler Ed Moses failed to win a race for the first time in how many days, ending his winning streak of 122 consecutive races?","3569 days (Hurdler Ed Moses won 122 races in a row over a period of nine years, nine months and nine days)",
How many full months passed between the births of the two actors pictured here?,How many full months passed between the births of actors Morgan Freeman and Brad Pitt?,319 months (Morgan Freeman born 1937; Brad Pitt born 1963),
"Including pre-film credits, how many seconds pass before these characters meet each other for the first time in the movie 'Shrek'?",,420 seconds (7 minutes),which characters meet is not identified in answer text
"In the song pictured here, there is a repeated line in the chorus that goes ""nana-nana-nana-nana-na-na"". How many na's are there in total in the album version of the song?",,125,song not identified in answer text
How many full months passed between the deaths of these two musicians?,How many full months passed between the deaths of John Lennon and George Harrison of The Beatles?,251 months (John Lennon and George Harrison of The Beatles),
"In 'Toy Story 2', how many seconds pass before this character appears on screen for the first time?",,"1,285 seconds (21 minutes and 25 seconds)",character in 'Toy Story 2' not named in answer text
"In days, how old was this footballer when this picture was taken?","In days, how old was footballer Lamine Yamal when he won the 2026 FIFA World Cup with Spain?","6,946 days (Lamine Yamal was 19 years and 6 days old when he won the 2026 FIFA World Cup with spain)",
How many full weeks separated the births of these actresses?,How many full weeks separated the births of actresses Carrie Fisher and Daisy Ridley?,"1,850 weeks (Carrie Fisher was born October 21st 1956; Daisy Ridley was born April 10th 1992)",
How many seconds into the first episode of 'Futurama' is this picture taken from?,,121,specific film moment/scene cannot be identified from answer text
How many full months separated the release of these singles?,How many full months separated the release of the singles 'Hello' by Lionel Richie and 'Hello' by Adele?,380 months ('Hello' by Lionel Richie was released February 13th 1984; 'Hello' by Adele was released October 23rd 2015),
"If you include the opening credits, how many seconds into this movie does the title character take a bite of marmalade sandwich for the first time?",,303 seconds (5 minutes and 3 seconds),movie title not named in answer text
"Multiply the number of maltesers pictured here by the number of unique letters in the word ""malteser"".",,287 (41 x 7),number of Maltesers pictured cannot be determined from answer text
How many full weeks were there between these two photographs being taken?,How many full weeks were there between the Wright Flyer's first flight and the Apollo 11 launch?,"3,421 weeks (Between the Wright Flyer's first flight on December 17th 1903 and the Apollo 11 launch on July 16th 1969)",
How many days longer did the person on the top of this picture live than the person on the bottom?,How many days longer did Queen Victoria live than Queen Elizabeth II?,"5,376 days (Queen Victoria died aged 81; Queen Elizabeth II died aged 96)",
"In days, what is the age difference between these two football legends.","In days, what is the age difference between football legends Cristiano Ronaldo and Lionel Messi?",869 (Cristiano Ronaldo born February 5th 1985; Lionel Messi born June 24th 1987),
"In days, what is the age difference between these two football-playing brothers?","In days, what is the age difference between brothers Jude Bellingham and Jobe Bellingham?",817 days (Jude Bellingham born June 29th 2003; Jobe Bellingham born Sept 23rd 2005),
How many days passed between the North American release dates of the two video games pictured here?,How many days passed between the North American release dates of Red Dead Redemption and Red Dead Redemption 2?,"3,083 (Red Dead Redemption - 2010, RDR2 - 2018)",
How many days separated the premiere of this Guy Ritchie movie and the release of its TV spin-off series on Netflix?,How many days separated the premiere of Guy Ritchie's movie 'The Gentlemen' and the release of its TV spin-off series on Netflix?,"1,556 days ('The Gentlemen' premiered on December 3rd 2019; the Netflix series first aired March 7th 2024)",
"In days, what is the age difference between these Coles?","In days, what is the age difference between footballers Ashley Cole and Cole Palmer?","7,807 days (Ashley Cole was born December 20th 1980; Cole Palmer was born May 6th 2002)",
"In the original album version of this song, how many seconds pass before the song title is sung for the first time?",,142 seconds,song not identified in answer text
How many minutes into the movie 'Mission: Impossible' is this picture taken from?,,63 minutes,specific film moment/scene cannot be identified from answer text
How many days passed between the deaths of the two hip-hop icons pictured here?,How many days passed between the deaths of hip-hop icons Tupac Shakur and The Notorious B.I.G.?,"177 days (Tupac died in 1996, Biggie died in 1997)",
How many weeks separated the release of these similarly titled singles?,"How many weeks separated the release of the singles both titled 'Breathe', by The Prodigy and by Blu Cantrell?",314 weeks ('Breathe' by The Prodigy was released November 11th 1996; 'Breathe' by Blu Cantrell was released November 18th 2002),
"Forgetting about seasons, if you were to count each episode of 'Friends' from 1 to 236, in what number episode did this actor appear for the first time?","Forgetting about seasons, if you were to count each episode of 'Friends' from 1 to 236, in what number episode did Bruce Willis (playing Paul Stevens) appear for the first time?",142 (Bruce Willis playing Paul Stevens),
"To the nearest minute, what is the total aggregate running time of these two movies?","To the nearest minute, what is the total aggregate running time of 'Finding Nemo' and 'Finding Dory'?","197 minutes ('Finding Nemo' is 100 minutes long, 'Finding Dory' is 97 minutes)",
"In the 2007 movie 'Transformers', how many minutes pass before this car transforms for the first time?",,53 minutes,car in 'Transformers' (2007) not named in answer text
"In centimetres, what is the height difference between the two actors who originally played these characters?","In centimetres, what is the height difference between Anthony Daniels (who played C-3PO) and Kenny Baker (who played R2-D2)?",63cm (Anthony Daniels [C-3PO] 1.75 metres; Kenny Baker [R2-D2] 1.12 m),
This song was first released how many months after the person it was originally about passed away?,"'Candle in the Wind' was first released how many months after Marilyn Monroe, who it was originally about, passed away?",138 months (Marilyn Monroe died August 4th 1962; 'Candle in the Wind' was released February 22nd 1974),
"In centimetres, what is the height difference between these former team-mates?","In centimetres, what is the height difference between former team-mates Zlatan Ibrahimovic and Lionel Messi?",25 centimetres (Zlatan Ibrahimović is 1.95 metres; Lionel Messi is 1.70 m),
"As the crow flies, to the nearest kilometre, how far apart are these famous arches?","As the crow flies, to the nearest kilometre, how far apart are the Arc de Triomphe in Paris and the Washington Square Arch in New York?","5,831 km (Between the Arc de Triomphe in Paris and the Washington Square Arch in New York)",
How many months after the initial broadcast of this TV show was the first live-action feature-length movie adaptation released in cinemas?,How many months after the initial broadcast of 'The Flintstones' TV show was the first live-action feature-length movie adaptation released in cinemas?,404 months ('The Flintstones' first aired September 30th 1960; the movie 'The Flintstones' was released May 27th 1994),
How many days passed between the births of the two classical composers pictured here?,How many days passed between the births of composers Mozart and Beethoven?,"5,438 days (Mozart - 1756, Beethoven - 1770)",
How many days apart were these actors born?,How many days apart were actors Drake Bell and Josh Peck born?,136 days (Drake Bell born June 27th 1986; Josh Peck born Nov 10th 1986),
This movie premiered how many weeks after the first publication of the comic strip it is based upon?,The movie 'The Addams Family' premiered how many weeks after the first publication of the comic strip it is based upon?,"2,780 weeks (The first 'Addams Family' cartoon appeared in the New Yorker on August 6th 1938; the movie 'The Addams Family' premiered November 19th 1991)",
"In the original version of this song, how many seconds pass before the title is sung for the first time?",,77 seconds,song not identified in answer text
How many years prior to the premiere of this movie was the novel it was based on published?,How many years prior to the premiere of 'The Lord of the Rings: The Fellowship of the Ring' was the novel it was based on published?,47 years ('The Lord of the Rings: The Fellowship of the Ring' was published in 1954; the film premiered in 2001),
How many days passed between the releases of the two Apple products pictured here?,How many days passed between the releases of the Apple G3 and the Apple M1?,"8,315 days (G3 - 1998, M1 - 2021)",
"In weeks, what was the age difference between these lead actors when their respective movies (pictured here) premiered?","In weeks, what was the age difference between Gene Wilder, when 'Willy Wonka & the Chocolate Factory' was released, and Johnny Depp, when 'Charlie and the Chocolate Factory' premiered?",211 weeks (Gene Wilder was 38 when 'Willy Wonka & the Chocolate Factory' was released; Johnny Depp was 42 when 'Charlie and the Chocolate Factory' premiered),
"In days, what is the age difference between these celebrities' eldest and youngest children?",,"2,154 days (North West was born June 15th 2013; Psalm West was born May 9th 2019)","whose eldest/youngest children are referenced is inferred, not explicitly stated in answer text"
"In days, what was the age difference between the oldest and youngest members of this group?",,"1,263 days (Geri Haliwell born Aug 6th 1972; Emma Bunton born Jan 21st 1976)",which group is referenced not explicitly stated in answer text
How many weeks separated the release of these two phones?,How many weeks separated the release of the Nokia 3310 and the iPhone X?,896 weeks (Nokia 3310 released September 1st 2000; iPhone X released November 3rd 2017),
How many days passed between the births of this guy's eldest child and youngest child?,,"4,511 days (Brooklyn Beckham was born March 4th 1999, Harper was born July 10th 2011)","whose children are referenced is inferred, not explicitly named, in answer text"
How many days separated the original release of these two sugar-free drinks?,How many days separated the original release of Diet Pepsi and Diet Coke?,"6,433 days (Diet Pepsi was released December 28th 1964; Diet Coke was released in August 9th 1982)",
How many years separated the death of the historical figure being played here by Matt Damon and the release of the movie he appears in?,"How many years separated the death of Sir Jean de Carrouges IV, the historical figure played by Matt Damon, and the release of the movie he appears in, 'The Last Duel'?",625 years (Sir Jean de Carrouges IV died in 1396; 'The Last Duel' was released in 2021),
"If they were still alive today, added together, what would be the combined age of these three authors?","If they were still alive today, added together, what would be the combined age of authors Charles Dickens, William Shakespeare and Roald Dahl?",782 = Charles Dickens 213 + William Shakespeare 461 + Roald Dahl 108,
How many days were there between the US releases of the film pictured here and the fourth film in the same franchise?,"How many days were there between the US releases of 'Jaws' and the fourth film in the same franchise, 'Jaws: The Revenge'?","4,410 days (Jaws was released on June 20th 1975; Jaws: The Revenge was released on July 17th 1987)",
"From 1953 to 2009, how many people died attempting to climb this mountain?","From 1953 to 2009, how many people died attempting to climb Mount Everest?",216 (Mount Everest),
"Going by the date each film was released, how many days passed between the film debuts of the two actors pictured here?","Going by the date each film was released, how many days passed between the film debuts of actors John Travolta and Samuel L. Jackson?",981 days (John Travolta 1975 and Samuel L. Jackson 1972),
How many days apart were these two celebrities born?,How many days apart were celebrities Cynthia Erivo and Ariana Grande born?,"2,361 days (Cynthia Erivo was born January 8th 1987; Ariana Grande was born June 26th 1993)",
"To the nearest metre, how much shorter is this tower than the original tower it is a replica of?","To the nearest metre, how much shorter is the Las Vegas Eiffel Tower than the original Eiffel Tower it is a replica of?",165.4 metres (Las Vegas Eiffel Tower is 164.6 metres; the original Eiffel Tower is 330 metres),
How many weeks prior to this movie's premiere was the book it was based on published?,"How many weeks prior to the movie 'Fight Club''s premiere was the book it was based on, by Chuck Palahniuk, published?",160 weeks ('Fight Club' by Chuck Palahniuk was published August 17th 1996; the film premiered on September 10th 1999),
"In the song pictured here, how many seconds pass before the word ""lights"" is sung for the first time?",,65 seconds,song not identified in answer text
How many minutes into the movie 'Oppenheimer' is this picture taken from?,,67 minutes,specific film moment/scene cannot be identified from answer text
How many minutes into the film 'The Sound of Music' is this picture taken from?,,57 minutes,specific film moment/scene cannot be identified from answer text
"In days, what is the age difference between these actors?","In days, what is the age difference between actors Matt Damon and Ben Affleck?",677 days (Matt Damon was born October 8th 1970; Ben Affleck was born August 15th 1972),
How many of the original size cans of Prime Energy drink from KSI and Logan Paul could you fit in this septic tank?,"How many of the original size cans of Prime Energy drink from KSI and Logan Paul (355ml) could you fit in a Clearwater 2,800-litre septic tank?","7,887 (A can of Prime Energy is 355 millilitres; pictured is a Clearwater 2,800-litre septic tank)",
"Including pre-film credits, how many seconds into this movie does the singer of the theme song appear for the first time?",,553 seconds (Dolly Parton first appears on 9 minutes and 13 seconds),movie title not named in answer text
"In days, what is the age difference between these two actors?","In days, what is the age difference between actors Rupert Grint and Emma Watson?",599 days (Rupert Grint born Aug 24th 1988; Emma Watson born April 15th 1990),
How many days passed between the births of the two rappers pictured here?,How many days passed between the births of rappers Tupac Shakur and Snoop Dogg?,126 days (Tupac Shakur born June 1971; Snoop Dogg born October 1971),
How many days passed between the founding of the two fast food franchises pictured here?,How many days passed between the founding of fast food franchises McDonald's and Subway?,"9,175 days (McDonald's was founded in 1940, Subway in 1965)",
How many months were there between this company opening its first store and its male co-founder passing away?,How many months were there between Gap opening its first store and its male co-founder Donald Fisher passing away?,"481 months (First Gap store opened in August 1969 in San Francisco; Donald Fisher, who co-founded Gap with his wife Doris, died in Sept 2009)",
"How many months before this guy was born, was the Henry Fielding book that he shares his name with published for the first time?","How many months before Tom Jones was born, was the Henry Fielding book 'The History of Tom Jones, a Foundling', which he shares his name with, published for the first time?","2,295 months (Tom Jones was born June 7th 1940; 'The History of Tom Jones, a Foundling' was published February 28th 1749)",
How many days apart were these two singers born?,How many days apart were singers Paul Simon and Art Garfunkel born?,23 days (Paul Simon born Oct 13th 1941; Art Garfunkel born Nov 5th 1941),
How many full months passed between the US release dates of the two films pictured here?,How many full months passed between the US release dates of 'Cars' and 'Cars 3'?,"132 months ('Cars' 2006, 'Cars 3' 2017)",
The movie pictured here premiered how many weeks after the first episode of the TV show it is based on?,The movie 'The A-Team' premiered how many weeks after the first episode of the TV show it is based on?,"1,427 weeks (The TV show 'The A-Team' first aired Jan 23rd 1983; the movie adaptation premiered June 3rd 2010)",
"In days, what is the age difference between this celebrity couple?","In days, what is the age difference between celebrity couple Rihanna and A$AP Rocky?",226 days (Rihanna was born February 20th 1988; A$AP Rocky born October 3rd 1988),
