question_text,question_type,answer,option_a,option_b,option_c,option_d,option_e,option_f,game,variation,has_picture,source_folder,source_file,times_seen,last_seen_folder,topic,stale_risk,stale_reason
Which Oscar-winning actor plays the title role in the 2024 horror movie 'Longlegs'?,multiple_choice,Nicolas Cage,Daniel Day Lewis,Anthony Hopkins,Joaquin Phoenix,Nicolas Cage,,,Quizsentials,,False,5 May 2026,Round 2 - Keypad.sqq,1,5 May 2026,Film & TV,,
In which US state would you find the Grand Canyon?,text_answer,Arizona,,,,,,,Quizsentials,,False,5 May 2026,Round 2 - Keypad.sqq,2,Free demo SpeedQuizzing Quizpacks,Geography,,
Which of these McDonald's treats has more calories?,multiple_choice,Double Quarter Pounder with Cheese,Big Mac,Double Quarter Pounder with Cheese,,,,,Quizsentials,,False,5 May 2026,Round 2 - Keypad.sqq,1,5 May 2026,Food & Drink,Yes,nutritional values change over time
Who is the notorious World Cup-winning footballer pictured here tightly marking Diego Maradona during their match in 1982?,text_answer,"Claudio Gentile, of Italy",,,,,,,Quizsentials,,True,5 May 2026,Round 2 - Keypad.sqq,1,5 May 2026,Sport,,
What is the collective name of the Sun and all the planets and other objects that orbit it?,text_answer,Solar system,,,,,,,Quizsentials,,False,5 May 2026,Round 2 - Keypad.sqq,1,5 May 2026,Science & Nature,,
"Originally containing Word, Excel and PowerPoint, Office is a family of software developed by what tech giant?",text_answer,Microsoft,,,,,,,Quizsentials,,False,5 May 2026,Round 2 - Keypad.sqq,1,5 May 2026,General Knowledge,,
"What actor played the mob boss Dante Reyes in the 'Fast & Furious' franchise, the half-Atlantian superhero Arthur Curry in the DC Extended Universe, and the barbarian king Khal Drogo in 'Game of Thrones'?",text_answer,Jason Momoa,,,,,,,Quizsentials,,False,5 May 2026,Round 2 - Keypad.sqq,1,5 May 2026,Film & TV,,
What is the name of tennis star Venus Williams' clothing line which debuted at New York fashion Week in 2012?,text_answer,EleVen,,,,,,,Quizsentials,,False,5 May 2026,Round 2 - Keypad.sqq,1,5 May 2026,Art & Culture,,
Name the musical act from the set list pictured here.,text_answer,Pet Shop Boys,,,,,,,Quizsentials,,True,5 May 2026,Round 2 - Keypad.sqq,1,5 May 2026,Music,,
"At the recent London Marathon, how many runners in total ran a quicker time than the previous world record of 2 hours and 35 seconds?",number,"3 Sabastian Sawe clocked 1hr 59mins 30sec, Yomif Kejelcha 1:59:41 and Jacob Kiplimo 2:00:28 (This is in regard to the record for a marathon run under race conditions)",,,,,,,Quizsentials,,False,5 May 2026,Round 2 - Keypad.sqq,1,5 May 2026,Sport,Yes,References recent London Marathon results
Put these words in the order in which they first appear in the lyrics to the song 'Down Under' by Men At Work.,sequence,Under -> Plunder -> Thunder -> Chunder,Under,Plunder,Thunder,Chunder,,,Quizsentials,,False,5 May 2026,Round 2 - Keypad.sqq,1,5 May 2026,Music,,
Which Greek word meaning 'departure' is also the name of a book of the Bible?,text_answer,Exodus,,,,,,,Quizsentials,,False,5 May 2026,Round 2 - Keypad.sqq,1,5 May 2026,Literature & Language,,
"Which of these people said: ""The biggest adventure you can take is to live the life of your dreams""?",multiple_choice,Oprah Winfrey,Oprah Winfrey,Walt Disney,Steven Spielberg,Martin Luther King Jr,,,Quizsentials,,False,5 May 2026,Round 2 - Keypad.sqq,1,5 May 2026,General Knowledge,,
Which of these countries is Somalia?,multiple_choice,D,A,B,C,D,,,Quizsentials,,True,5 May 2026,Round 2 - Keypad.sqq,1,5 May 2026,Geography,,
"What game comes from the Swahili word meaning ""to build""?",text_answer,Jenga,,,,,,,Quizsentials,,False,5 May 2026,Round 2 - Keypad.sqq,1,5 May 2026,General Knowledge,,
"In minutes, how long does it take the minute hand of a clock to move the same distance as the hour hand moves in 4 hours?",number,20,,,,,,,Quizsentials,,False,5 May 2026,Round 2 - Keypad.sqq,1,5 May 2026,General Knowledge,,
"With regard to the metal, what would happen if you put a small lump of gallium in the palm of your hand?",multiple_choice,It would melt,It would burn a hole in your hand,It would hover slightly,It would melt,It would tickle,It would attract bees,It would give you blood poisoning,Quizsentials,,False,5 May 2026,Round 2 - Keypad.sqq,1,5 May 2026,Science & Nature,,
"Starting with the largest, put these continents in order of their surface area.",sequence,Asia -> Africa -> North America -> South America -> Europe,Asia,Africa,North America,South America,Europe,,Quizsentials,,False,5 May 2026,Round 2 - Keypad.sqq,2,10 Mar 2024,Geography,,
Name the 'Stranger Things' actor pictured here.,text_answer,Finn Wolfhard,,,,,,,Quizsentials,,True,5 May 2026,Round 2 - Keypad.sqq,6,8 Oct 2023,Film & TV,,
What word for a disturbing or annoying loud noise is also a piece of equipment used for playing tennis?,text_answer,Racket,,,,,,,Quizsentials,,False,5 May 2026,Round 2 - Keypad.sqq,1,5 May 2026,General Knowledge,,
How many times is the title sung in the original version of this Beyoncé song?,number,25,,,,,,,Nearest Wins,,True,14 Apr 2026,Round 4 - Nearest Wins.sqn,1,14 Apr 2026,Music,Yes,Asks about specific song title count
"Sometimes using ""getaway power"" (which involved extending their legs through the bottom of their car and running), in what vintage TV show did a group of dwarf gangsters race in a vehicle called the Bulletproof Bomb?",text_answer,Wacky Races (the Ant Hill Mob),,,,,,,Quizsentials,,False,14 Apr 2026,Round 1 - Keypad.sqq,1,14 Apr 2026,Film & TV,,
"In Great Britain during the Second World War, which food was exempt from rationing because of its positive effect on morale?",multiple_choice,Fish & Chips,Sugar,Spam,Fish & Chips,Chicken Tikka Masala,,,Quizsentials,,False,14 Apr 2026,Round 1 - Keypad.sqq,1,14 Apr 2026,History,,
The ice-skating position pictured here is named after what animal?,multiple_choice,Camel,Horse,Cat,Swan,Camel,,,Quizsentials,,True,14 Apr 2026,Round 1 - Keypad.sqq,1,14 Apr 2026,Sport,,
What 'E' is the art of belching?,multiple_choice,Eructation,Eructation,Exholation,Entoplation,Extermination,,,Quizsentials,,False,14 Apr 2026,Round 1 - Keypad.sqq,1,14 Apr 2026,Literature & Language,,
Maximilien Robespierre was an influential figure during which country's revolution in the late 18th century?,text_answer,France,,,,,,,Quizsentials,,False,14 Apr 2026,Round 1 - Keypad.sqq,1,14 Apr 2026,History,,
"Which US city would you associate with the formation of the bands Raydio, The White Stripes, The Temptations, and The Supremes?",text_answer,Detroit,,,,,,,Quizsentials,,False,14 Apr 2026,Round 1 - Keypad.sqq,1,14 Apr 2026,Music,,
How many letter L's are there in the standard British-English spelling of the word 'fulfil'?,number,2 Fulfil (American-English is fulfill),,,,,,,Quizsentials,,False,14 Apr 2026,Round 1 - Keypad.sqq,1,14 Apr 2026,Literature & Language,,
"""I have no fear of the Trump administration"" is a recent quote from whom?",multiple_choice,Pope Leo,Benjamin Netanyahu,Iran's Supreme Leader,Vladimir Putin,Pope Leo,,,Quizsentials,,False,14 Apr 2026,Round 1 - Keypad.sqq,1,14 Apr 2026,Current Affairs,Yes,Uses 'recent' and references current political figure
Name the character.,text_answer,Cookie Monster,,,,,,,Quizsentials,,True,14 Apr 2026,Round 1 - Keypad.sqq,6,16 Feb 2025,Film & TV,,
Put these WWE pay-per-view events in the order they appear in a calendar year.,sequence,Royal Rumble -> WrestleMania -> Summer Slam -> Survivor Series,Royal Rumble,WrestleMania,Summer Slam,Survivor Series,,,Quizsentials,,False,14 Apr 2026,Round 1 - Keypad.sqq,2,13 Aug 2024,Sport,Yes,WWE calendar order may change annually
Which 'Game of Thrones' character is also known as 'Littlefinger'?,text_answer,Petyr Baelish,,,,,,,Quizsentials,,False,14 Apr 2026,Round 1 - Keypad.sqq,1,14 Apr 2026,Film & TV,,
"In pool with numbered balls, what is the total when you add the numbers of the two blue balls?",number,12 (2 + 10),,,,,,,Quizsentials,,False,14 Apr 2026,Round 1 - Keypad.sqq,1,14 Apr 2026,General Knowledge,,
Name the actor pictured here.,text_answer,Sean Bean,,,,,,,Quizsentials,,True,14 Apr 2026,Round 1 - Keypad.sqq,20,20 Aug 2025,Film & TV,,
'Uptown Special' is a 2015 album by what British musician and producer?,text_answer,Mark Ronson,,,,,,,Quizsentials,,False,14 Apr 2026,Round 1 - Keypad.sqq,1,14 Apr 2026,Music,,
"If a coffee bean is darker, its caffeine content is generally... what?",multiple_choice,Lower,Lower,Higher,,,,,Quizsentials,,False,14 Apr 2026,Round 1 - Keypad.sqq,1,14 Apr 2026,Science & Nature,,
"In Beatrix Potter's children's books, what kind of animal was Jeremy Fisher?",text_answer,Frog,,,,,,,Quizsentials,,False,14 Apr 2026,Round 1 - Keypad.sqq,1,14 Apr 2026,Literature & Language,,
Tap these letters in order to spell the name of a household appliance manufacturer.,sequence,D -> Y -> S -> O -> N,D,Y,S,O,N,,Quizsentials,,False,14 Apr 2026,Round 1 - Keypad.sqq,1,14 Apr 2026,General Knowledge,,
"From the logo, name the contemporary American casual wear and dress clothing brand.",text_answer,Juicy Couture,,,,,,,Quizsentials,,True,14 Apr 2026,Round 1 - Keypad.sqq,1,14 Apr 2026,General Knowledge,,
What common substance has the chemical formula NaCl?,text_answer,Salt,,,,,,,Quizsentials,,False,14 Apr 2026,Round 1 - Keypad.sqq,1,14 Apr 2026,Science & Nature,,
"First coined in 2025, which of these is a term for AI-generated political propaganda videos?",multiple_choice,Slopaganda,Slopaganda,Flopaganda,Laptopaganda,Propaslop,,,Quizsentials,,False,14 Apr 2026,Round 1 - Keypad.sqq,1,14 Apr 2026,Current Affairs,Yes,references term coined in 2025
"Known for his military tactics called the 'Art of War', what country was the historical philosopher and army general Sun Tzu from?",text_answer,China,,,,,,,Quizsentials,,False,14 Apr 2026,Round 3 - Keypad.sqq,1,14 Apr 2026,History,,
"In what year was Windows XP publicly launched, Tom Cruise and Nicole Kidman separated after 10 years of marriage, and Alicia Keys released her debut single 'Fallin''?",number,2001,,,,,,,Quizsentials,,False,14 Apr 2026,Round 3 - Keypad.sqq,1,14 Apr 2026,General Knowledge,,
"Among the top ten most-subscribed YouTube channels, what is the name of the children's channel that specialises in 3D animation videos of traditional nursery rhymes?",text_answer,Cocomelon,,,,,,,Quizsentials,,False,14 Apr 2026,Round 3 - Keypad.sqq,1,14 Apr 2026,Current Affairs,Yes,top-ten rankings change over time
Which British adventurer is the only man to lead a transglobal expedition travelling from pole to pole using only land transport?,text_answer,Ranulph Fiennes,,,,,,,Quizsentials,,False,14 Apr 2026,Round 3 - Keypad.sqq,1,14 Apr 2026,History,,
"In mathematics, which of the following is a reducible fraction?",multiple_choice,4/8,4/8,7/5,33/100,13/20,,,Quizsentials,,False,14 Apr 2026,Round 3 - Keypad.sqq,1,14 Apr 2026,Science & Nature,,
Which artist is pictured here performing at the 2017 MTV EMAs on top of a police car?,text_answer,Stormzy,,,,,,,Quizsentials,,True,14 Apr 2026,Round 3 - Keypad.sqq,1,14 Apr 2026,Film & TV,,
The international airport with the code LAS serves which city?,multiple_choice,Las Vegas,Las Vegas,Las Palmas,La Paz,Lahore,,,Quizsentials,,False,14 Apr 2026,Round 3 - Keypad.sqq,1,14 Apr 2026,Geography,,
In what year did Gary Lineker score six goals at the World Cup to win the Golden Boot?,number,1986,,,,,,,Quizsentials,,False,14 Apr 2026,Round 3 - Keypad.sqq,1,14 Apr 2026,Sport,,
The phrase 'face the music' means which of these things?,multiple_choice,To accept the consequences of your actions,To blame an act of God,To have no regrets,To accept the consequences of your actions,To run away,,,Quizsentials,,False,14 Apr 2026,Round 3 - Keypad.sqq,1,14 Apr 2026,Literature & Language,,
"In this diagram of a human cell, what is the name of the little black dots, represented by the number 10, whose function is to make proteins?",multiple_choice,Ribosomes,Mitochondria,Lysosomes,Centrioles,Ribosomes,,,Quizsentials,,True,14 Apr 2026,Round 3 - Keypad.sqq,1,14 Apr 2026,Science & Nature,,
Which TV show's new third season recently had a special premiere screening at Coachella festival?,text_answer,Euphoria,,,,,,,Quizsentials,,False,14 Apr 2026,Round 3 - Keypad.sqq,1,14 Apr 2026,Current Affairs,Yes,references recent premiere event
"Starting with the oldest, put the children of Helen and Bob Parr from 'The Incredibles' in age order.",sequence,Violet -> Dash -> Jack-Jack,Violet,Dash,Jack-Jack,,,,Quizsentials,,False,14 Apr 2026,Round 3 - Keypad.sqq,1,14 Apr 2026,Film & TV,,
"What type of animals are bogsuckers, bushtits and bustards?",text_answer,Birds,,,,,,,Quizsentials,,False,14 Apr 2026,Round 3 - Keypad.sqq,1,14 Apr 2026,Science & Nature,,
What property of a liquid describes its resistance to flow?,text_answer,Viscosity,,,,,,,Quizsentials,,False,14 Apr 2026,Round 3 - Keypad.sqq,1,14 Apr 2026,Science & Nature,,
What company produces this breakfast biscuit?,text_answer,Belvita,,,,,,,Quizsentials,,True,14 Apr 2026,Round 3 - Keypad.sqq,1,14 Apr 2026,Food & Drink,,
What form of rugby has been contested at the Summer Olympics since 2016?,multiple_choice,Rugby sevens,Rugby fives,Rugby sevens,Rugby nines,Rugby elevens,,,Quizsentials,,False,14 Apr 2026,Round 3 - Keypad.sqq,1,14 Apr 2026,Sport,,
"In Disney's 1951 animated classic 'Alice in Wonderland', what can be found attached to the top of Tweedle Dee and Tweedle Dum's hats?",multiple_choice,Green Flags,Propellers,Umbrellas,Bicycle Horns,Green Flags,,,Quizsentials,,False,14 Apr 2026,Round 3 - Keypad.sqq,1,14 Apr 2026,Film & TV,,
"To date, how many women have been the Republican presidential nominee in a US election?",number,0,,,,,,,Quizsentials,,False,14 Apr 2026,Round 3 - Keypad.sqq,1,14 Apr 2026,Current Affairs,Yes,asks for current count through election
Name the classic horror film from this poster.,text_answer,The Exorcist,,,,,,,Quizsentials,,True,14 Apr 2026,Round 3 - Keypad.sqq,1,14 Apr 2026,Film & TV,,
"""Same bed but it feels just a little bit bigger now, Our song on the radio but it don't sound the same"" are the opening lines from which Bruno Mars song?",text_answer,When I Was Your Man,,,,,,,Quizsentials,,False,14 Apr 2026,Round 3 - Keypad.sqq,1,14 Apr 2026,Music,,
Which former Batman actor plays the villain in the more recent superhero movie 'Spider-Man: Homecoming'?,text_answer,Michael Keaton,,,,,,,Quizsentials,,False,14 Apr 2026,Round 2 - Keypad.sqq,1,14 Apr 2026,Film & TV,,
In which US state is the city of New Orleans?,text_answer,Louisiana,,,,,,,Quizsentials,,False,14 Apr 2026,Round 2 - Keypad.sqq,1,14 Apr 2026,Geography,,
Which fast-fashion retailer was founded in 1998 by Amancio Ortega in Spain?,multiple_choice,Bershka,Primark,ASOS,Bershka,Boohoo,,,Quizsentials,,False,14 Apr 2026,Round 2 - Keypad.sqq,1,14 Apr 2026,General Knowledge,,
Name the goalkeeper depicted here in Subbuteo form.,text_answer,Rene Higuita (of Colombia),,,,,,,Quizsentials,,True,14 Apr 2026,Round 2 - Keypad.sqq,1,14 Apr 2026,Sport,,
"Due to their composition of rock, dust and ice, what celestial bodies are popularly described by astronomers as 'dirty snowballs' and 'icy dirtballs'?",multiple_choice,Comets,Stars,Gas planets,Black holes,Comets,,,Quizsentials,,False,14 Apr 2026,Round 2 - Keypad.sqq,1,14 Apr 2026,Science & Nature,,
"""High-speed pursuits of fleeing criminals"" is a description of what video game?",multiple_choice,Chase HQ,Chase HQ,Chase IT,Chase On,Chase,,,Quizsentials,,False,14 Apr 2026,Round 2 - Keypad.sqq,1,14 Apr 2026,Film & TV,,
"In 'Harry Potter and the Philosopher's Stone', which position did Hermione take on the giant chessboard as the three heroes made their way to the hidden stone?",multiple_choice,Rook,Knight,Queen,Rook,Pawn,,,Quizsentials,,False,14 Apr 2026,Round 2 - Keypad.sqq,1,14 Apr 2026,Literature & Language,,
A handrail known as a 'barre' is used extensively in training and warm-up exercises by whom?,multiple_choice,Ballet dancers,Tightrope walkers,Ballet dancers,Weightlifters,Hang gliders,Tennis players,,Quizsentials,,False,14 Apr 2026,Round 2 - Keypad.sqq,1,14 Apr 2026,Art & Culture,,
Who is this guy?,multiple_choice,Chad Smith,Will Ferrell,Chad Smith,Seth Green,Eddie Murphy,,,Quizsentials,,True,14 Apr 2026,Round 2 - Keypad.sqq,84,2 May 2024,Music,,
"In golf, who recently won the Masters for the second successive year?",text_answer,Rory McIlroy,,,,,,,Quizsentials,,False,14 Apr 2026,Round 2 - Keypad.sqq,1,14 Apr 2026,Sport,Yes,uses 'recently' and current record claim
"Known for the 2020s singles 'Water' and 'Chanel', name this South African singer-songwriter.",text_answer,Tyla,,,,,,,Quizsentials,,True,14 Apr 2026,Round 2 - Keypad.sqq,1,14 Apr 2026,Music,Yes,references 2020s singles and current status
Shaitan and Iblis are names in the Quran for which religious figure?,multiple_choice,Satan,Christ,Abraham,Adam,Satan,,,Quizsentials,,False,14 Apr 2026,Round 2 - Keypad.sqq,1,14 Apr 2026,General Knowledge,,
In what '90s cartoon series did Baloo the bear from 'Jungle Book' pilot a seaplane named the Sea Duck?,text_answer,Talespin,,,,,,,Quizsentials,,False,14 Apr 2026,Round 2 - Keypad.sqq,1,14 Apr 2026,Film & TV,,
This is an infrared photograph of which planet?,text_answer,Jupiter,,,,,,,Quizsentials,,True,14 Apr 2026,Round 2 - Keypad.sqq,1,14 Apr 2026,Science & Nature,,
What is the most widely spoken language in Kosovo?,text_answer,Albanian,,,,,,,Quizsentials,,False,14 Apr 2026,Round 2 - Keypad.sqq,1,14 Apr 2026,Geography,,
What is the minimum number of people you need in a room such that there is a 50-50 chance of two people having the same birthday?,multiple_choice,23,23,50,182,183,,,Quizsentials,,False,14 Apr 2026,Round 2 - Keypad.sqq,1,14 Apr 2026,Science & Nature,,
"In thermal decomposition, or thermolysis, how many reactants are there?",multiple_choice,One,One,Two,Five,Ten,,,Quizsentials,,False,14 Apr 2026,Round 2 - Keypad.sqq,1,14 Apr 2026,Science & Nature,,
"In terms of geographical area, put these African countries in order of size, from largest to smallest.",sequence,Sudan -> South Africa -> Ghana -> Rwanda,Sudan,South Africa,Ghana,Rwanda,,,Quizsentials,,False,14 Apr 2026,Round 2 - Keypad.sqq,4,20 Aug 2023,Geography,,
Which 'Harry Potter' character's face has replaced Hermione's in this image?,text_answer,Ron (Weasley),,,,,,,Quizsentials,,True,14 Apr 2026,Round 2 - Keypad.sqq,1,14 Apr 2026,Literature & Language,,
Which legendary American boxer had the nicknames 'Motor City Cobra' and 'The Hitman'?,text_answer,Thomas Hearns,,,,,,,Quizsentials,,False,14 Apr 2026,Round 2 - Keypad.sqq,1,14 Apr 2026,Sport,,
How many years separated the death of Ludwig van Beethoven and the release of the Chuck Berry song 'Roll Over Beethoven'?,number,129 years (Beethoven died in 1827; 'Roll Over Beethoven' was released 1956),,,,,,,Nearest Wins,,False,15 Apr 2026,Round 4 - Nearest Wins.sqn,1,15 Apr 2026,Music,,
What is the name of the actor who began dating Ariana Grande after meeting on the set of the 2024 film 'Wicked'?,text_answer,Ethan Slater,,,,,,,Quizsentials,,False,15 Apr 2026,Round 1 - Keypad.sqq,1,15 Apr 2026,Current Affairs,Yes,references recent 2024 dating relationship
"Which US state is nicknamed ""The Garden State""?",text_answer,New Jersey,,,,,,,Quizsentials,,False,15 Apr 2026,Round 1 - Keypad.sqq,1,15 Apr 2026,Geography,,
