question_text,flags
"Eamon de Valera was, for 14 years, the president of which country?",politics
"As pictured here, locals recently staged a protest outside a new American consulate on what North Atlantic island?",politics
"Starting with the earliest, tap these men in the order they became President of the United States",politics
"In which decade did 'Bonanza' first air on TV, NASA was founded, and the July 14th Revolution took place in Iraq, overthrowing the royal family?",politics
"With regard to the Northern Irish political party, what does the 'U' stand for in DUP?",politics
"Of the TV shows listed here, tap only the ones in which the missing word is 'Dog'.",pork
Tap only the things that the biblical character David is said to have done according to the Old Testament.,
Who preceded Jacques Chirac as President of France?,politics
"Name the retired footballer from this list of clubs: Crumlin United, Wolves, Coventry City, Inter Milan, Leeds, Tottenham, Liverpool, Celtic, West Ham, LA Galaxy, Aston Villa, ATK.",pork
The playwright Vaclav Havel was President of which country between 1993 and 2003?,politics
Tap only the animals that are generally considered to be omnivores (ie eat both plants and other animals).,
"Starting with the earliest, tap these Kevin Bacon films in order of release.",pork
"In which year did American actress Doris Day, German fashion designer Karl Lagerfeld, former Australian Prime Minister Bob Hawke, and Zimbabwean politician Robert Mugabe all die?",politics
"Until his recent assassination, Ali Khamenei was the Supreme Leader of what country?",politics
"After nearly four decades of rule, and just days after his party again won all seats at an uncompetitive election, 70-year-old Hun Sen recently announced he was stepping down as the prime minister of what Asian country, and handing power over to his son?",politics
"In 1994, which country became the second Arab nation after Egypt to sign a peace treaty with Israel?",politics
The Russian parliament building in Moscow is called the White House. Is this...?,politics
Name this political figure.,politics
What animal was used by the Roman army to scare their enemies' elephants into trampling their own soldiers?,pork
A standard Hawaiian pizza consists of ham and what fruit?,pork
"In what year did swimmer Michael Phelps win his first Olympic gold medal, the First Battle of Fallujah took place during the Iraq War, and the Denzel Washington movie 'Man on Fire' premiered in Los Angeles?",politics
"In what year did Jenny Shipley become the first female prime minister of New Zealand, DVD sales began in the USA for the first time, and Nobel Peace Prize laureate Malala Yousafzai was born?",politics
"From the Fine Gael political party, what is the name of the politician who was the Prime Minister of Ireland from June 2017 to June 2020 and got the job again in December 2022?",politics
"Donald Trump recently became only the second US politician to win back the presidency after losing it. Who was the first, back in the late 1800s?",politics
What is the popular Mexican street food 'elotes'?,
"Appearing in many of his works including 'Ham On Rye', Henry Chinaski was the literary alter ego of what US writer?",pork
In which year did Germany erect the Berlin Wall; Dwight Eisenhower ceased to be president of the US; and George Formby of 'Leaning on a Lamp Post' fame died?,politics
"A man known in the Western world as Ayatollah Khomeini led a 1979 revolution in, and ultimately became the first Supreme Leader of, which country?",politics
"What is or was 'Watergate', after which the Watergate scandal was named?",
"Voiced by Jane Fonda and sharing her name with a famous on screen pig, what is the name of this dragon who appeared in the 2022 film 'Luck'?",pork
"In the Popeye cartoons, who was Olive Oyl's boyfriend before Popeye?",
"Before his transfer to Arsenal the following year, Ian Wright scored twice in the FA Cup final of 1990 for which other London side?",
The communist politician called Enver Hoxha ruled what European country from 1944 until his death in 1985?,politics
The 'Day of the Jackal' is a novel about a plot to assassinate the president of which country?,politics
Who succeeded Ahmed Hassan al-Bakr as President of Iraq in 1979?,politics
Who is leaving his job as manager of West Ham United at the end of this season?,pork
"According to data from the IMF, put these Asian countries in order of nominal GDP, starting with the highest.",
In what year did Lyndon B. Johnson beat Barry Goldwater in the US presidential election?,politics
"In French cuisine, what is andouillette?",
Pope Francis sadly passed away recently. Which American politician met him just a day before he died?,politics
"Going by a recipe on the BBC Good Food website, from top to bottom, place these ingredients in a BLT sandwich in the order you would stack them.",
Which continent is Israel located in?,politics
Schwein (pronounced shvine) is the German word for what animal?,pork
"What is the SURNAME of the famous political activist who lead The Salt March, as a form of non-violent protest against the British monopoly in India?",politics
"Tap these words in the order they come in the song 'Food, Glorious Food' from the musical film 'Oliver!'?",
Name the English football club.,pork
"During the Cold War in 1985, Ronald Reagan and Mikhail Gorbachev privately agreed to put aside their differences and unite their countries if what event took place?",politics
In which year did Saddam Hussein first become the President of Iraq?,politics
Which of these countries does NOT share a border with Egypt?,
"In the world of finance, which country's currency has the abbreviation IDR?",
"Off the coast of which country is 'Pig Beach', known for its population of swimming feral pigs?",pork
"In the 'Star Wars' films, Padme Amidala was the queen, and then later senator, of which planet?",politics
Rearrange these letters to spell out the former name of Iran.,politics
Who was named Time magazine's 'Woman of the Year' in 1986 and was the first female president of the Philippines after Ferdinand Marcos was ousted?,politics
Tap only the places that have become Catholic pilgrimage sites due to apparitions of the Virgin Mary.,
"Of these capital cities, tap only the ones in Africa.",politics
"Of the dishes listed here, tap only the ones that typically have pork in them.",pork
In what country was the cured sausage Pepperoni invented?,pork
Which of these countries is NOT in the world's top 10 with regard to population?,
What nation does this flag represent?,politics
What country was Iran at war with for eight years between 1980 and 1988?,politics
"Who reportedly said ""I do not like broccoli and I haven't liked it since I was a kid when my mother made me eat it and I'm President of the United States and I'm not going to eat it any more""?",politics
Who ended up with the most seats in the French parliament following the country's snap election last year?,"politics,time_sensitive_phrase"
"Sometimes referred to as ""Europe's last dictator"", Alexander Lukashenko is the long-standing president of which Eastern European country?",politics
Tap only the things that are listed in the lyrics of 'My Favourite Things' from 'The Sound of Music'.,
"Which Premier League club recently signed the Championship Player of the Season, Dutch winger Crysencio Summerville, from Leeds United?",pork
"What type of dance, if you take away the letter 't' in the spelling, becomes the last name of Kamala Harris' new running-mate in the US election?",politics
Bashar al-Assad was deposed as the president of which country in December?,politics
"In what year did the El Rancho Vegas become the first casino-resort to open on the Las Vegas Strip, the first Captain America comic was released, and Senator Bernie Sanders was born?",politics
"A Dutch winger, what is the name of last season's Championship Player of the Season, who recently joined West Ham from Leeds United for £25m?",pork
'Cochon' is the French word for what animal?,pork
"Of the Italian foods listed here, tap only the ones that typically come from pigs.",pork
"Of the ingredients listed here, tap only the ones that are in a typical lasagna al forno (the most common type of lasagna outside of Italy).",
"Replacing the former international footballer George Weah, Joseph Boakai was recently elected as the next president of which West African country?",politics
"From this close-up picture, name the cartoon character.",pork
Which US President is this?,politics
In what year did OutKast release the album 'Stankonia' featuring the song 'Ms Jackson'; George W. Bush won his first US presidential election; and Brad Pitt and Jennifer Aniston got married?,politics
"Starting with the earliest, put these Jonah Hill movies in order of when they were released.",pork
Tap only the political events that took place in 2024.,
"What five-letter word that often precedes chicken, beef or pork means to cook by prolonged exposure to heat in an oven or over a fire?",pork
Former Wolves boss Julen Lopetegui was recently confirmed as the new manager of which other Premier League club?,"pork,time_sensitive_phrase"
"In 1988, who became the first woman to be elected as the leader of a Muslim state?",politics
"Going by average adult size, put these rodents in size order, starting with the smallest.",
Footballer Frank Lampard left West Ham United to join which English club in 2001?,pork
Who was the prime minister of the UK when the Soviet Union was disbanded?,politics
Who suceeded Charles De Gaulle after his resignation as president of France in 1969?,politics
"According to a famous passage from the New Testament book of Matthew, what should you not cast before swine?","pork,time_sensitive_phrase"
"According to a study by the Washington Post's Fact Checker team, how many false or misleading claims did Donald Trump make on November 2nd 2020 - the day before the 2020 presidential election?",politics
"Because baby pigs grow so quickly, how many different little pigs were used in the title role during the filming of the 1995 hit movie 'Babe'?",pork
"In which year did Jorge Videla become the military dictator of Argentina, the chimpanzee was added to the endangered species list, and Viking 1 became the first spacecraft to successfully land on Mars?",politics
"In the Old Testament, which biblical character was thrown into a den of lions by the Babylonian king Darius, but was saved by the god of Israel?",politics
What last name is shared by an American TikTok break-dancer named Joe and an Australian politician named Anthony?,politics
Who became President of the United States following the assassination of John F Kennedy?,politics
Manuel Noriega was a military dictator in what country in the 1980s?,politics
"In what was a major scandal for the Reagan administration, the Contras rebel group in Nicaragua was funded by the USA through illegal weapons sales to what Middle Eastern country?",politics
"Rearrange these words to give the name of a political party in the UK, followed by its founder.",politics
Conan the Republican was a nickname used by George W. Bush for which actor-turned-politician?,politics
Name this former NBA star pictured with North Korean dictator Kim Jong Un.,politics
Tap only the wars that took place in the 20th century.,
Which of the following is the name of the American politician who served as the 50th Speaker of the US House of Representatives?,politics
Which 20th century dictator famously threw communists out of helicopters in what were called Death Flights?,politics
"In what century did Sir Isaac Newton become the president of the Royal Society of London, Bartolomeo Cristofori exhibited his invention the piano for the first time, and the kingdoms of Scotland and England united to create the kingdom of Great Britain?",politics
"Introduced by cartoonist Charles M. Schulz in 1968, what was the name of the first black character to appear in the 'Peanuts' comic strip?",
A 'Gougere' is a French baked choux pastry dough ball mixed with what other key ingredient?,
"In what year did Elvis Presley make his TV debut, Winston Churchill resigned as Prime Minister of the UK due to ill health, and Disney's 'The Lady and the Tramp' premiered in Chicago?",politics
What continent do Guinea Pigs originally come from?,pork
"Taken from the popular Twitter account 'Bands FC', this image provides a new logo for Iron Maiden based on the badge of which football team?",pork
"In what year did Lonesome George, the last Pintas Island tortoise, die at the age of 102; Mohammad Morsi became the first ever democratically elected President of Egypt; and Queen Elizabeth II celebrated her Diamond Jubilee?",politics
"In which year were Halle Berry, Janet Jackson, and former prime minister of the UK David Cameron all born?",politics
Which country's presidency did Albert Einstein turn down when offered?,
"In what year was 21st Century Fox acquired by the The Walt Disney Company, Robert Mugabe resigned as president of Zimbabwe after 37 years in office, and a new species of orangutan was discovered in Indonesia?",politics
Hafez al-Assad served as president of which country between 1971 and 2000?,politics
Name the former President of France pictured here.,politics
"With her ship being intercepted by authorities while trying to take some aid into Gaza, which famous Swedish campaigner was recently deported from Israel?",politics
"In which year did Bill Gates' wealth first surpass $90 billion, Nelson Mandela retired as president of South Africa, and pop sensation Lil Nas X was born?",politics
Who was the first Roman Catholic to become President of the USA?,politics
Rearrange these words to make a line from the Shakespeare play 'Hamlet'.,
Which of these legendary boxers has never become a politician?,politics
Manchego is a type of Spanish cheese made from the milk of which animal?,
"From 1965 to 1989, Nicolae Ceaușescu was the dictator of what country?",politics
What other international news event took place on the same day as the opening ceremony of the USA 1994 FIFA World Cup finals?,
Is the actor and politician Arnold Schwarzenegger...?,politics
What is the name of Peppa Pig's brother?,pork
"Of the countries listed here, tap only the ones that have won the Eurovision Song Contest four or more times.",
"Of the biblical figures listed here, tap only the ones that were king of Israel.",politics
"Which president of the United States had children named Maureen, Michael, Christine, Patti and Ron?",politics
"Starting with the earliest, put these films in order of release.",politics
"In Switzerland, it is illegal to own more than one guinea pig. Is this...?",pork
"Having lost a recent snap election, in what European country is Olaf Scholz the outgoing Chancellor?",politics
Who recently enjoyed a landslide victory in the Russian presidential election?,politics
"In 1991, the National Stuttering Project of San Francisco complained that which Warner Brothers character ""belittled people with speech impediments""?",pork
"Comedian, actor, author and activist Russell Brand is a fan of which Premier League football team?",pork
"Prior to Joe Biden, who was the last president of the USA to have also served as vice president?",politics
Which country does this outline represent?,politics
Rearrange these letters to spell out the title of the supreme leader of Iran.,politics
How many days older was George H.W. Bush when he was sworn in as president of the United States in 1989 than his son George W. Bush when he was sworn in as president in 2001?,politics
"In the names of three of its alloys, what metallic element can be 'pig', 'wrought' and 'cast'?",pork
The Bay of Pigs Invasion of 1961 was a failed landing operation by Cuban exiles who opposed Fidel Castro's revolution. But what foreign country covertly financed and directed it?,pork
"In what decade was the Jeep first used by the US Armed Forces, the Dead Sea Scrolls were discovered, and Israel was admitted into the United Nations?",politics
Which Asian country was ruled by the dictator Pol Pot?,politics
Julen Lopetegui was recently sacked as the manager of which Premier League club?,pork
"In charge from October 2017 until her shock resignation in January 2023, Jacinda Ardern is a former prime minister of what country?",politics
The Chinese are generally regarded to have invented the first natural bristle toothbrush in the 15th century. From which animal did the bristles come?,pork
Tap only the AI-generated images that Donald Trump or the White House have posted on social media since he became president.,
"From largest to smallest, put these football stadiums in order of capacity.",
Which future president of the United States was the Governor of Texas between 1995 and 2000?,politics
The War in Afghanistan ended in 2021 when the USA and its allies withdrew troops. In what year did it officially begin?,politics
Tap only the countries where Arabic is an official language.,
"Appearing at Westminster Magistrates' Court, what 20-year-old Swedish national recently denied a public order offence, having been arrested at a protest near a London hotel where oil executives were meeting?",politics
Which of these animals is NOT considered a member of the rodent family?,
Apollo Milton Obote became the first prime minister of which African country in 1962?,politics
What Middle Eastern country is an anagram of 'Serial'?,politics
"Having recently been elected party leader following Leo Varadkar's resignation, what is the name of the politician who will take over as Irish prime minister when its parliament resumes on April 9th?",politics
Jenny Shipley was the first female prime minister of what country?,politics
Which of these is NOT a genuine German sausage?,pork
The Elysee Palace is the official residence of the president of which country?,politics
Which group was blamed for the burning of the German parliament building in 1933?,politics
"In what year did the Soviet Union detonate its first atomic bomb, the first Emmy Awards Ceremony took place at the Hollywood Athletics Club, and David Ben-Gurion became the first prime minister of Israel?",politics
"To counter slipping sales, what food product was marketed in 1987 as ""the other white meat""?",pork
In what year did George W. Bush beat Al Gore in the US presidential election to win his first term in office?,politics
"In what year did Blondie release 'Parallel Lines', Egypt and Israel signed the Camp David Accords, and Katie Holmes and Kobe Bryant were born?",politics
"The football teams Aston Villa, Burnley and West Ham United, all play their home games in kits that are officially blue and what other colour?",pork
"What name is given to a public declaration of principles, policies and aims, especially one issued before an election by a political party or candidate?",politics
What type of animal is the TikTok celebrity Floofnoodles?,
Which Premier League club recently signed West Ham's James Ward-Prowse on loan for the season?,pork
"According to the Hebrew Bible and Old Testament, whom did Solomon succeed as the King of Israel?",politics
Tap these words in order to make a famous quote by the English politician and historian Lord Acton.,politics
"Generally referring to one which has not farrowed or given birth to a litter, what is the name for a female pig under the age of one year?",pork
"Between 1989 and 1994, F.W. de Klerk was the president of which country?",politics
Who resigned as President of the Soviet Union on Christmas Day in 1991?,politics
What meat is generally used to make pastrami?,
"Although he has denied any wrongdoing, which West Ham midfielder was recently charged by the FA for allegedly getting booked deliberately so people could win money on bets?",pork
What football club has this badge?,pork
"According to A-Z-animals.com, which mammal has the highest body fat ratio?",
"In an RTÉ poll in 2010, what 1998 Nobel Peace Prize winner and former politician was voted Ireland's Greatest Person?",politics
"To act in an overly dramatic matter is best described in Australian slang as ""to carry on like a..."" what?",
"What word was banned in the Australian Federal Parliament in 2005, only for the decision to be overturned within 24 hours as it was deemed ""part of Australian culture""?",politics
"Whose films include 'Canadian Bacon', 'The Big One', 'Lucky Numbers', 'Bowling for Columbine', and 'Fahrenheit 911'?",pork
"Of the pies listed here, tap only the ones that are sweet as opposed to savoury.",
Pictured here is some real bacon cooking next to some vegan bacon. But what European city is an anagram of 'real bacon'?,pork
In what year was Richard Nixon first elected President of the United States?,politics
This image was taken during a protest in which Beijing square in 1989?,politics
"Pictured here, who recently dressed up as Pamela Anderson for a music video released on US election day?",politics
"In modern slang, what type of food is a 'glizzy'?",
Fight Fight Fight and Victory 47 are fragrances endorsed by which American politician?,politics
Tap only the ingredients in a classic croque madame French sandwich.,
"Ulf Kristersson, the leader of the Moderate Party, is the current prime minister of what country?","politics,time_sensitive_phrase"
What name is given to a Spanish air-dried paprika and pork sausage?,pork
What was the name of the Vice President of the United States who served under George H.W. Bush?,politics
"During the Spanish Inquisition, which body part was most frequently covered with lard and roasted over a fire as a form of torture?",pork
"In what year did Fleetwood Mac release their self-titled debut album, the Clint Eastwood war film 'Where Eagles Dare' came out, and US politician Robert F. Kennedy was assassinated?",politics
This is the back of a cardboard cut-out of a cartoon movie character called Rosita. What kind of animal is Rosita?,pork
In what year was Joe Biden inaugurated as president of the United States?,politics
"Here is the former President of Costa Rica in a 2017 interview, but what is the reason for him famously having this smile on his face?",politics
"According to the latest data from Statista, after the USA, which country has the largest annual military spending budget?",time_sensitive_phrase
"Named after a senator called Joseph, what name was given to the fearmongering communist witch hunt and political persecution of left-wingers in 1950s America, also known as the 'Second Red Scare' movement?",politics
Who is this politician in his school uniform?,politics
Listed here are Roman names of places. Tap only the ones in Europe.,politics
Which of these men was NOT a President of the USA?,politics
"Raising questions over legality as well as morality, which tech billionaire recently said he would give away $1m a day to a registered voter in the swing state of Pennsylvania up until November's US presidential election?",politics
Put these events in the life of Adolf Hitler in the correct order.,
Which of the following countries borders the Baltic Sea?,
"Starting with the earliest, put these classic films in order of release.",
What is the name of the official residence and workplace of the President of the USA?,politics
"The bloodhound, beagle and Basset hound are commonly referred to as what type of dog?",
In what year did Ronald Reagan beat Jimmy Carter in the US presidential election?,politics
Tap only the foods that are regarded as traditional ingredients on a quattro stagioni pizza.,
Which famous politician was born with the name Rolihlahla and was often referred to by his tribal names Madiba and Tata?,politics
Which fashion model has the word 'bacon' tattooed on the bottom of her right foot?,pork
"Meaning she cannot stand in the 2027 presidential election, which French far-right leader was recently barred from running for public office for five years after being found guilty of embezzling European funds?",politics
Tap only the foods that are typically associated with France.,
Who was the president of the USA when Dick Cheney was Secretary of Defense?,politics
Rearrange these letters to spell out the last name of a 20th century dictator.,politics
This is the back of a cardboard cut-out of a cartoon movie character called Clay. What kind of animal is Clay?,
"""The lady doth protest too much, methinks"" is a quote from which Shakespeare play?",politics
"Although spelled differently, what video game dragon shares his name with a deceased American politician who served as vice president under Richard Nixon?",politics
What four-letter word would you type in Wikipedia to bring up this picture?,pork
Who preceded Nicolas Sarkozy as President of France?,politics
What element is mixed with iron to make the alloys cast iron and pig iron?,pork
"Keith Holyoake, Robert Muldoon, and Helen Clark have all been prime minister of which country?",politics
The Iron Dome is an air defence system owned and operated by which Middle Eastern country?,politics
"In what year was Richard Nixon sworn in as President of the United States, Yasser Arafat was elected leader of the Palestinian Liberation Organisation, and Colonel Gaddafi became leader of Libya after a successful coup?",politics
Who starred in the 1940 film 'The Great Dictator'?,politics
"According to estimates from the Pew Research Center, put these countries in order of Buddhist population, from largest to smallest.",
Tap only the kosher foods.,
In what year was Ariel Sharon elected prime minister of Israel; The Strokes released their debut album 'Is This It'; and pop star Billie Eilish and actor Caleb McLaughlin were born?,politics
"Rearrange these words to give the full title of a 1964 black comedy film directed by Stanley Kubrick. In it, British RAF officer Lionel Mandrake, the president of the United States, and the title character, a wheelchair-bound former Nazi, are all portrayed by Peter Sellers.",politics
Who preceded Ronald Reagan as president of the United States?,politics
Tap only the countries that are on the Arabian peninsula.,
Which meat does a traditional Irish stew contain?,
In what year did John F. Kennedy beat Richard Nixon in the US presidential election?,politics
"Between 2007 and 2012, this guy was the president of what country?",politics
"Including half siblings, no president of the United States has ever been an only child. Is this...?",politics
"From what country does the numeral system used in the western world originate IE: 0,1,2,3,4,5,6,7,8,9?",
What motorsport video game series shares its name with a political party formed by Silvio Berlusconi in 1994?,politics
What alternative name for a pig was given to the influenza strain that went to pandemic levels in 2009?,pork
A guy called Bassirou Diomaye Faye was recently elected the new president of what country - being sworn in with two wives by his side?,"politics,time_sensitive_phrase"
Who was the last president of the United States whose first name and last name began with the same letter?,politics
How many countries does Iran share a border with?,politics
President Trump recently issued a travel ban that prohibits citizens from 12 countries from entering the US. Tap only the countries hit with these bans.,
"Which former US president was once quoted saying: ""You can put wings on a pig, but you don't make it an eagle""?",pork
In what year did Justin Trudeau become the Prime Minister of Canada for the first time?,politics
"Joseph Baena, who calls himself an actor, realtor and DJ, is the illegitimate son of which actor, bodybuilder and former politician?",politics
"In what year was the McDonald's Happy Meal first introduced in the USA, the one-child policy was introduced in China, and Greenland was given limited autonomy by Denmark and gained its own parliament?",politics
What US city was named after the first president of Texas?,politics
"In 2006, Felipe Calderon became President of which country?",politics
The Gulf War of the early '90s began when what country invaded Kuwait?,
Tap only the countries that are now officially known by other names.,politics
What American slang word meaning foolish talk or nonsense supposedly takes its origin from a large pork sausage that is often sliced thinly?,pork
"In what year did Japan become the third nation to launch a Mars probe, the socialist Hugo Chavez was elected to become President of Venezuela for the first time, and Jaden Smith was born?",politics
Which England international full-back recently joined West Ham in a £15m move from Manchester United?,pork
"In the Old Testament, who was the father of Shem, Ham and Japheth?",pork
What term is generally used to describe pork cooked so slowly it is tender enough to be shredded?,pork
"In March 1990, who was elected as the first ever President of the Soviet Union?",politics
What is a gannet?,
This iconic picture was taken during the Nicaraguan war in which year?,politics
Picture puzzle: who is this guy?,pork
"Of these characters from George Orwell's 'Animal Farm', tap only the horses.",pork
The author Salman Rushdie was born in which country?,
What type of animal gave birth to this creature in China in 2015?,pork
The German word 'Kummerspeck' is a word describing excess weight gained from emotional overeating. What does the term literally mean?,
"Ali Stroker, pictured here, made a name for herself on the TV show 'Glee'. But what completely unrelated anagram of 'Glee Ali' is a biblical region of northern Israel and southern Lebanon?",politics
Which famous activist first gained fame in 2018 when she skipped school and protested for climate action outside the Swedish parliament?,politics
Put these countries in geographical order from furthest west to furthest east.,
Which of these is NOT a nocturnal animal?,
Tap only the foods that are typically associated with Spain.,
"In 1992, who paid $75,000 for the Los Angeles burial vault next to Marilyn Monroe?",
The pot-bellied pig is a breed of domesticated pig originating in which Asian country?,pork
What is the name of the far-right politician who was beaten into second place by Emmanuel Macron in the 2022 French presidential election?,politics
Put these countries in order so that their capital cities are in alphabetical order.,
Tap only the countries whose capital cities have only four letters in their name.,politics
Tap only the events that have taken place in 2025.,
"In what year were the two longest-imprisoned German World War Two war criminals in Western Europe released from a Dutch jail, and Romanian dictator Nicolae Ceausescu was overthrown and executed?",politics
In which country would you find the Ozark Mountains?,
Complete the title of the song from Disney's 'Three Little Pigs': 'Who's Afraid of the Big Bad...' what?,pork
Who was president of the US from 1977 to 1981?,politics
"In recent news, police believe a father who has been hiding and camping with his three children in the wilderness since 2021 may have been sighted recently by teenage pig hunters in the forest. In what country has this been headline news?",pork
"""Tom yum"" is what type of food in Thai cookery?",
"Prior to becoming a US senator in 1974, John Glenn had famously had what occupation?",politics
ldi Amin became president of which country in 1971?,politics
Arrange these letters to spell a Middle Eastern country.,politics
"Of the cured meats listed here, tap only the sausages.",
"Starting with the most recent, put these politicians in the order in which they last held the position of vice president of the USA.","politics,time_sensitive_phrase"
"In what year was the video game 'Destiny 2' first released, Emmanuel Macron was elected president of France, and bombshell reports from The New York Times exposed allegations of Harvey Weinstein's sexual misconduct in Hollywood?","politics,time_sensitive_phrase"
Kielbasa is a traditional sausage served at weddings in which country?,pork
"What 1978 political agreement was secretly negotiated and signed in the US, in order to secure peace between Israel and Egypt?",politics
"If a male pig is a boar, what is a female pig called?",pork
In which country did the sitting president recently win a fifth term in office after a totally unsurprising landslide election victory?,politics
"In what year did Mary Robinson become the first female president of Ireland, and Margaret Thatcher, the first female prime minister of the UK, resigned from the position?",politics
Who was elected president of the Palestinian National Council in 1996?,politics
"In its historic first interplanetary mission, which Asian country launched a space probe named Hope in July 2020 which successfully went into orbit around Mars in February 2021?",
"In worldwide news, an intelligence leak occurred recently when a journalist was added to a US government group chat. In the chat, the vice president and other Trump officials were discussing a military strike where?",
Which of these is the correct name for the capital of Christmas Island?,
These sounds feature in the famous song 'Old MacDonald had a farm'. Put the corresponding animals that make these sounds in alphabetical order.,pork
What troubled area of Palestine doesn't sound unlike this footballing legend's nickname?,politics
"The 1967 Arab-Israeli War, which began on June 5th when Israel launched a series of pre-emptive airstrikes against Egyptian facilities, was also known as the 'how many' Days War?",politics
Tap only the names of pigs in the George Orwell book 'Animal Farm'.,pork
Who is the most recent president of the United States to have also served as vice president?,"politics,time_sensitive_phrase"
"In 'The Big Bang Theory' TV show, what is the name of Missy's guinea pig?",pork
"In France, what does the term 'tricoteuse' commonly refer to?",
"In May 2014, Evo Morales signed to play professional football for a Bolivian first division club. What was unusual about the signing?",
"Referring only to the two main parties, to date, how many different politicians have beaten a female rival in a US presidential election?",politics
Tap only the countries that played in the 2022 FIFA World Cup tournament.,
Which political party has had more Presidents of the USA?,politics
"Named after the political leader pictured here, what large man-made lake was created by the construction of the Aswan Dam on the River Nile?",politics
In what country was actor and human rights activist Audrey Hepburn born in 1929?,politics
"Which American politician did Boris Johnson once describe as someone with ""dyed blonde hair and pouty lips and a steely blue stare, like a sadistic nurse in a mental hospital""?",politics
"Tap these letters in order to spell a word that completes the Shakespeare quote ""the lady doth protest too much...""",politics
"Pictured here: in 1995, artists Christo and Jean-Claude 'wrapped' which famous German building?",politics
"In 1996, which politician did The Spice Girls say was their 'Girl Power' role model?",politics
"Claiming his application was invalid, which country's election commission recently barred anti-war challenger Boris Nadezhdin from standing in next month's presidential vote?",politics
"Prior to Joe Biden, who was the last president of the United States to be commonly known by a shortened version of his first name?",politics
Who was the prime minister of the UK when Gordon Brown was Chancellor of the Exchequer?,politics
High brow / low brow picture question: Name either of these guys.,pork
What is the name of Justin Trudeau's father who was also prime minister of Canada?,politics
This French local politician recently went viral due to his unfortunate last name. What is it?,politics
Rearrange these letters to make the name of an Egyptian pharaoh.,
"Miguel Díaz-Canel is the most senior politician in what country, as both president since 2019 and the even more powerful First Secretary of the Communist Party since April 2021?",politics
"Ruth Handler, an American businesswoman, best known for inventing Barbie, served as the first president of which toy manufacturer?",politics
"Before finishing his career at Cardiff City, which former Wales footballer scored for seven different Premier League clubs?",pork
Who was President of the Italian Republic from 2006 until 2015?,politics
Who is this former cricketer and current Pakistani politician?,"politics,time_sensitive_phrase"
